timestamp,blocks-size,avg-block-size,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,transaction-fees,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,n-transactions-excluding-chains-longer-than-100,output-volume,estimated-transaction-volume-usd,score_twitter,volume_gg,volume_twitter,volume_wiki
1439078400,41588,0.372211259259259,805,8.08333333333333,353662.65570703,52699842409.347,900570.06,18.45162508,1.11085030129312,10.1845638676845,218499,88425,79360195,82199,52762,1075398.3593033,81070335,0.143948118958452,1623,37,6776
1439164800,41659,0.409656805714286,791,6.36666666666667,458451.590731335,52699842409.347,1162172.07,26.67403896,1.24265927661297,10.4997205608659,220994,110686,79470881,103390,62537,1381572.86738124,93522987,0.101753402003739,1692,44,7722
1439251200,41726,0.399886763313609,589,7.13333333333333,442733.25047769,52699842409.347,1130128.35,26.65997778,1.6400228048235,9.66557777340643,227498,116923,79587804,110280,62644,1195838.48023039,68909307,0.163870097421835,1562,34,7975
1439337600,41789,0.516044284552846,751,9.18333333333333,322225.975199738,52699842409.347,830459,25.19329055,1.21861509641145,7.17434386716658,232055,115754,79703558,109091,64037,1281112.96049936,68147769,0.117644373408215,1112,59,8033
1439424000,41853,0.431921798657718,828,8.78333333333333,390338.782965537,52699842409.347,997387.5,25.29193539,1.42702488487023,8.4284368239589,226126,118336,79821894,111008,64604,1461956.2745693,69892790,0.026340704046502,1164,65,9529
1439510400,41911,0.437152708955224,808,8.5,351042.932331422,52699842409.347,900557.27,23.62123658,1.26347811722696,8.34235544233441,220370,107950,79929844,104109,61797,1328948.01854493,71276048,0.126770876913343,1144,65,7164
1439596800,41970,0.442008417910448,753,9.38333333333333,351042.932331422,52699842409.347,894962.52,22.59740485,1.31318206666619,8.43357476041048,245458,106119,80035963,101858,59813,1201448.04046192,68152204,0.129352516056808,1350,69,6294
1439683200,42022,0.358668891156462,755,7.45,385099.336214322,52699842409.347,950836.71,18.29530243,1.71076324190077,10.9817944631163,228284,86583,80122546,84478,51668,1145737.75450938,55579679,0.090300533476216,1672,80,6528
1439769600,42082,0.419639277777778,704,7.28333333333333,377240.166087499,52699842409.347,932483.9,22.53259396,1.07835441179645,8.6142495542684,230212,108249,80230795,105299,63584,1414273.9932017,86472860,0.083028118659733,1448,86,7516
1439856000,42148,0.4606524,684,8.43333333333333,379859.889463106,52699842409.347,926771.5,25.78007236,1.02271703861354,7.71467398090418,244699,120131,80350926,116238,66001,1704654.57819601,90618565,0.119524430398309,1337,69,11266
