timestamp,average_block_utilization,block_gas_limit,block_mining_reward,block_size,blocks_per_day,difficulty,distinct_miners,fee_mining_reward,hashrate,market_cap,mining_revenue,mining_reward,new_accounts,total_ether_supply,total_gas_usage,transactions_per_day,score_twitter,volume_gg,volume_twitter,volume_wiki
1439078400,0.241503274673476,3141152.17294554,2.568078125E+022,618.298067538551,5123,1709251098483.21,492,1.40989497032056E+019,109676945486.006,53737705.8823406,184.188383081265,2.71923801997032E+022,370,3.2505578125E+023,38863003,1329,NA,NA,NA,NA
1439164800,0.448716733505626,3141215.38915319,2.633984375E+022,631.186108468126,5255,1837878844645.59,491,3.11651444383787E+019,120610799179.867,49546852.7240375,158.094251672987,2.78485088944384E+022,743,3.52873125E+023,74070061,2037,NA,NA,NA,NA
1439251200,0.985644275574465,3141341.30587121,2.64684375E+022,692.014015151515,5280,2036351692724.62,422,1.13114485860198E+019,134766886331.011,76734344.92375,220.539868469618,2.8039123948586E+022,1958,3.809009375E+023,163481740,4963,0,3,0,686
1439337600,0.435506258535365,3141441.26151444,2.56940625E+022,653.426424668228,5124,2207069747966.05,387,3.25869924043777E+019,142999727420.3,90522827.9687501,239.541754613462,2.74035244924044E+022,395,4.08271875E+023,70102332,2036,-0.031512579512682,85,7,918
1439424000,0.531347917902425,3141450.74139236,2.650875E+022,665.722285281877,5286,2336918821280.81,407,2.49291691099431E+019,156606018231.665,128954824.29,321.581743726582,2.82930541691099E+022,619,4.3654E+023,88234087,2842,-0.008188889688567,90,8,1071
1439510400,0.431514700068088,3141480.80065416,2.913171875E+022,659.751420210019,5809,2670781953569.46,419,1.43548341128275E+019,196722874450.417,129734970.621562,283.173585538485,3.11210735841128E+022,732,4.6764671875E+023,78746522,3174,0.065007699644508,118,6,1054
1439596800,0.3523012386686,3141520.85098476,2.697890625E+022,638.33519137867,5382,3378051268215.58,393,8.83659302804685E+018,227666580264.112,129786008.27625,224.246668658148,2.8521492843028E+022,443,4.96159375E+023,59565914,2284,0.073841428380883,134,7,610
1439683200,0.36125037210462,3141487.21551052,2.572015625E+022,640.653741231489,5132,3632373811115.39,436,6.67723792490556E+018,231942202730.598,99370544.8365625,160.077188158734,2.71012084879249E+022,329,5.2325390625E+023,58241191,2440,0.047163047965573,71,11,600
1439769600,0.360259633945838,3141508.19842902,2.679390625E+022,634.707686553207,5347,3908163995546.81,388,7.64281183963496E+018,258915864704.976,86348022.341875,129.272083893845,2.81265490618396E+022,332,5.513728125E+023,60515132,2512,0.020382267842615,54,6,651
1439856000,0.429844989380706,3141532.7932498,2.48009375E+022,648.488278092158,4948,4377788803560.64,361,1.1906071340176E+019,270470331405.17,92186158.17875,122.904025786862,2.61747185713402E+022,338,5.77535625E+023,66816413,2494,0.118763225315367,57,15,642
1439942400,0.562487471066018,3141542.73516949,2.601640625E+022,653.321070878274,5192,4419487358839.53,318,1.54309506694802E+019,284044135458.749,91494658.276875,121.089640936588,2.72974622006695E+022,324,6.0481765625E+023,91746712,3246,0.025917508863441,53,4,642
1440028800,0.499242986482329,3141571.18513916,2.016015625E+022,650.093190854871,4024,4469712964665.93,250,6.85556694270663E+018,221468069464.524,107501080.4775,140.763192474882,2.10638868169427E+022,246,6.258746875E+023,63112713,2303,-0.005195844354362,46,12,678
1440115200,0.665522787272136,3141592.4384827,2.54928125E+022,667.585298742138,5088,4414971682283.6,261,7.85504172470532E+018,277264309584.153,104634080.82,138.662856816105,2.66987925417247E+022,320,6.52565625E+023,106379973,3919,0.053458767250929,48,21,540
1440201600,0.547994131980039,3141593.05444887,2.640546875E+022,648.037753746917,5271,4828424680037.27,253,4.25471718295825E+019,312618144214.45,101039248.165313,122.687351457863,2.75930159218296E+022,277,6.8011609375E+023,90744195,3579,0.046442999723975,52,8,379
1440288000,0.74800810802623,3141595.81029324,2.5115E+022,680.592260123679,5013,5138357693190.28,266,8.0497676729018E+018,317162749742.868,98167088.9953125,111.791062995587,2.62636747676729E+022,370,7.0637171875E+023,117802449,4190,0.0186875,51,4,414
1440374400,0.599587110419209,3141594.4992284,2.597890625E+022,672.547453703704,5184,5178958204200.04,267,8.87628541979861E+018,333335492749.496,90202182.42,101.712167115069,2.73421575354198E+022,192,7.33705E+023,97648912,4432,0.156621642325913,43,10,529
