Date,score_twitter,volume_twitter,volume_google
11/08/15 01:00,0,0,3
11/08/15 02:00,0,0,3
11/08/15 03:00,0,0,3
11/08/15 04:00,0,0,2
11/08/15 05:00,0,0,3
11/08/15 06:00,0,0,3
11/08/15 07:00,0,0,3
11/08/15 08:00,0,0,4
11/08/15 09:00,0,0,4
11/08/15 10:00,0,0,4
11/08/15 11:00,0,0,3
11/08/15 12:00,0,0,3
11/08/15 13:00,0,0,3
11/08/15 14:00,-0.2878,1,3
11/08/15 15:00,0,0,3
11/08/15 16:00,0,0,3
11/08/15 17:00,0,0,3
11/08/15 18:00,0,0,4
11/08/15 19:00,-0.5983,1,3
11/08/15 20:00,-0.171079906070168,2,5
11/08/15 21:00,0,0,5
11/08/15 22:00,0,0,6
11/08/15 23:00,0,0,4
12/08/15 00:00,0,0,5
12/08/15 01:00,0.300877997765807,3,3
12/08/15 02:00,0.088092492447149,2,4
12/08/15 03:00,0,0,3
12/08/15 04:00,0,0,3
12/08/15 05:00,0,0,3
12/08/15 06:00,0,0,3
12/08/15 07:00,0,0,3
12/08/15 08:00,0,0,3
12/08/15 09:00,0,0,4
12/08/15 10:00,0.19599007655597,1,3
12/08/15 11:00,-0.1027,1,3
12/08/15 12:00,0,0,4
12/08/15 13:00,0.032877592898466,1,4
12/08/15 14:00,0,0,4
12/08/15 15:00,0,0,4
12/08/15 16:00,0,0,4
12/08/15 17:00,0,0,5
12/08/15 18:00,0.288006485572807,2,4
12/08/15 19:00,0,0,3
12/08/15 20:00,0,0,5
12/08/15 21:00,0,0,4
12/08/15 22:00,0,0,5
12/08/15 23:00,0,0,4
13/08/15 00:00,-0.6988,1,4
13/08/15 01:00,0,0,4
13/08/15 02:00,0,0,3
13/08/15 03:00,0.7964,1,3
13/08/15 04:00,0,0,3
13/08/15 05:00,0,0,3
13/08/15 06:00,0.448340936855069,2,4
13/08/15 07:00,0,0,4
13/08/15 08:00,0,0,4
13/08/15 09:00,0,0,4
13/08/15 10:00,0,0,5
13/08/15 11:00,0,0,3
13/08/15 12:00,0,0,4
13/08/15 13:00,-0.0258,1,4
13/08/15 14:00,0,0,4
13/08/15 15:00,0,0,5
13/08/15 16:00,0,0,5
13/08/15 17:00,0,0,6
13/08/15 18:00,0.142342231957956,1,7
13/08/15 19:00,0.198901622655172,1,7
13/08/15 20:00,0,0,7
13/08/15 21:00,0,0,7
13/08/15 22:00,0,0,8
13/08/15 23:00,0,0,7
14/08/15 00:00,0,0,6
14/08/15 01:00,0,0,5
14/08/15 02:00,0,0,5
14/08/15 03:00,0.5994,1,6
14/08/15 04:00,0.373394281141184,3,5
14/08/15 05:00,0,0,5
14/08/15 06:00,0,0,6
14/08/15 07:00,0,0,5
14/08/15 08:00,0.5106,1,6
14/08/15 09:00,0,0,5
14/08/15 10:00,0,0,7
14/08/15 11:00,0.5848,1,7
14/08/15 12:00,0,0,6
14/08/15 13:00,0,0,8
14/08/15 14:00,0,0,5
14/08/15 15:00,0,0,5
14/08/15 16:00,-0.296,1,6
14/08/15 17:00,0,0,6
14/08/15 18:00,0,0,6
14/08/15 19:00,0,0,5
14/08/15 20:00,0,0,5
14/08/15 21:00,0,0,4
14/08/15 22:00,0,0,5
14/08/15 23:00,0,0,6
15/08/15 00:00,0,0,5
15/08/15 01:00,0,0,5
15/08/15 02:00,0,0,4
15/08/15 03:00,0,0,3
15/08/15 04:00,0,0,3
15/08/15 05:00,0,0,3
15/08/15 06:00,0,0,2
15/08/15 07:00,0,0,3
15/08/15 08:00,-0.5,1,3
15/08/15 09:00,0,0,3
15/08/15 10:00,0,0,3
15/08/15 11:00,0.836,1,2
15/08/15 12:00,0,0,3
15/08/15 13:00,0,0,3
15/08/15 14:00,0,0,3
15/08/15 15:00,0.125521045107883,5,2
15/08/15 16:00,0.3182,1,2
15/08/15 17:00,0,0,3
15/08/15 18:00,0,0,3
15/08/15 19:00,0,0,3
15/08/15 20:00,0,0,3
15/08/15 21:00,0,0,3
15/08/15 22:00,0.046481828254335,1,4
15/08/15 23:00,0.228510277811521,1,4
16/08/15 00:00,0.0772,1,2
16/08/15 01:00,0,0,4
16/08/15 02:00,-0.128,1,2
16/08/15 03:00,0,0,2
16/08/15 04:00,0,0,3
16/08/15 05:00,0,0,2
16/08/15 06:00,0.2732,1,2
16/08/15 07:00,0,0,2
16/08/15 08:00,-0.1027,1,3
16/08/15 09:00,0,0,2
16/08/15 10:00,0.244044730383746,1,3
16/08/15 11:00,0,0,2
16/08/15 12:00,0,0,2
16/08/15 13:00,0,0,2
16/08/15 14:00,0,0,2
16/08/15 15:00,0,0,2
16/08/15 16:00,0,0,2
16/08/15 17:00,0,0,3
16/08/15 18:00,0,0,2
16/08/15 19:00,0.202629697839011,2,2
16/08/15 20:00,0,0,2
16/08/15 21:00,0,0,2
16/08/15 22:00,0,0,3
16/08/15 23:00,0,0,3
17/08/15 00:00,0,0,2
17/08/15 01:00,0,0,2
17/08/15 02:00,0,0,2
17/08/15 03:00,0,0,2
17/08/15 04:00,0.5859,1,2
17/08/15 05:00,0.3617,1,2
17/08/15 06:00,0.4939,1,2
17/08/15 07:00,0,0,2
17/08/15 08:00,0,0,2
17/08/15 09:00,0,0,3
17/08/15 10:00,0,0,2
17/08/15 11:00,0,0,2
17/08/15 12:00,0.3715,2,2
17/08/15 13:00,0.4588,1,2
17/08/15 14:00,0.350199866263515,2,3
17/08/15 15:00,0,0,2
17/08/15 16:00,0,0,2
17/08/15 17:00,-0.646616666666667,4,3
17/08/15 18:00,0,0,2
17/08/15 19:00,0.050178188011976,1,2
17/08/15 20:00,0,0,3
17/08/15 21:00,0.765,1,4
17/08/15 22:00,0,0,3
17/08/15 23:00,0.059756019959973,1,3
18/08/15 00:00,0,0,3
18/08/15 01:00,0,0,2
18/08/15 02:00,0,0,3
18/08/15 03:00,0,0,2
18/08/15 04:00,0,0,3
18/08/15 05:00,0,0,3
18/08/15 06:00,0,0,2
18/08/15 07:00,0,0,2
18/08/15 08:00,-0.3182,1,2
18/08/15 09:00,0,0,2
18/08/15 10:00,0,0,2
18/08/15 11:00,0,0,2
18/08/15 12:00,0.2732,1,2
18/08/15 13:00,0.067620212722585,1,2
18/08/15 14:00,0,0,2
18/08/15 15:00,0,0,2
18/08/15 16:00,0,0,2
18/08/15 17:00,0,0,2
18/08/15 18:00,0,0,2
18/08/15 19:00,0,0,2
18/08/15 20:00,0,0,2
18/08/15 21:00,0,0,3
18/08/15 22:00,0,0,3
18/08/15 23:00,0,0,2
19/08/15 00:00,0,0,2
19/08/15 01:00,0.5994,1,2
19/08/15 02:00,0,0,2
19/08/15 03:00,0,0,2
19/08/15 04:00,0,0,2
19/08/15 05:00,-0.3723,2,2
19/08/15 06:00,0,0,2
19/08/15 07:00,0,0,2
19/08/15 08:00,0.044805752513407,1,2
19/08/15 09:00,0,0,2
19/08/15 10:00,0,0,2
19/08/15 11:00,0,0,2
19/08/15 12:00,0.090247841207262,1,1
19/08/15 13:00,0,0,2
19/08/15 14:00,0,0,2
19/08/15 15:00,0,0,1
19/08/15 16:00,0,0,2
19/08/15 17:00,0,0,2
19/08/15 18:00,-0.277272699681142,3,2
19/08/15 19:00,0,0,2
19/08/15 20:00,0.2023,1,2
19/08/15 21:00,0.415518841455792,3,2
19/08/15 22:00,0,0,2
19/08/15 23:00,0,0,3
20/08/15 00:00,0,0,2
20/08/15 01:00,-0.228,1,1
20/08/15 02:00,0.3804,1,1
20/08/15 03:00,0,0,2
20/08/15 04:00,0,0,1
20/08/15 05:00,0,0,2
20/08/15 06:00,0.3612,1,1
20/08/15 07:00,0,0,1
20/08/15 08:00,0,0,1
20/08/15 09:00,-0.3863,2,1
20/08/15 10:00,0.5335,3,2
20/08/15 11:00,0.005121244541065,1,2
20/08/15 12:00,0.0516,1,2
20/08/15 13:00,0,0,1
20/08/15 14:00,0,0,2
20/08/15 15:00,0,0,2
20/08/15 16:00,0.355898636709972,2,2
20/08/15 17:00,0,0,3
20/08/15 18:00,-0.079753272541338,3,3
20/08/15 19:00,0.073716067681621,1,3
20/08/15 20:00,-0.4404,1,2
20/08/15 21:00,0.0258,1,2
20/08/15 22:00,0,0,3
20/08/15 23:00,0.2136,3,4
21/08/15 00:00,0,0,2
21/08/15 01:00,0.188627737630975,1,3
21/08/15 02:00,0,0,3
21/08/15 03:00,0,0,1
21/08/15 04:00,0,0,3
21/08/15 05:00,0,0,2
21/08/15 06:00,0.2732,1,2
21/08/15 07:00,0,0,2
21/08/15 08:00,0,0,3
21/08/15 09:00,0,0,2
21/08/15 10:00,0,0,2
21/08/15 11:00,0,0,3
21/08/15 12:00,0,0,2
21/08/15 13:00,0,0,2
21/08/15 14:00,0,0,2
21/08/15 15:00,0,0,2
21/08/15 16:00,0,0,3
21/08/15 17:00,0.0853,2,2
21/08/15 18:00,0.4098,3,2
21/08/15 19:00,0,0,2
21/08/15 20:00,0,0,2
21/08/15 21:00,0,0,2
21/08/15 22:00,0,0,2
21/08/15 23:00,0,0,2
22/08/15 00:00,0,0,2
22/08/15 01:00,0.346331993375407,2,2
22/08/15 02:00,0,0,2
22/08/15 03:00,0,0,2
22/08/15 04:00,0,0,2
22/08/15 05:00,0,0,2
22/08/15 06:00,0,0,2
22/08/15 07:00,0,0,2
22/08/15 08:00,0,0,2
22/08/15 09:00,0.5106,1,2
22/08/15 10:00,0,0,2
22/08/15 11:00,0,0,2
22/08/15 12:00,0,0,2
22/08/15 13:00,0,0,2
22/08/15 14:00,0,0,2
22/08/15 15:00,0,0,2
22/08/15 16:00,0,0,2
22/08/15 17:00,0,0,2
22/08/15 18:00,0,0,2
22/08/15 19:00,0,0,2
22/08/15 20:00,0,0,2
22/08/15 21:00,-0.4767,1,2
22/08/15 22:00,0,0,3
22/08/15 23:00,0.4404,1,3
23/08/15 00:00,0,0,3
23/08/15 01:00,-0.0258,1,2
23/08/15 02:00,0,0,1
23/08/15 03:00,0.4215,1,2
23/08/15 04:00,0,0,2
23/08/15 05:00,0,0,2
23/08/15 06:00,0,0,2
23/08/15 07:00,0,0,2
23/08/15 08:00,0.130999283331187,1,2
23/08/15 09:00,0.4019,1,2
23/08/15 10:00,0,0,2
23/08/15 11:00,0.6486,1,2
23/08/15 12:00,0,0,2
23/08/15 13:00,0,0,2
23/08/15 14:00,0,0,1
23/08/15 15:00,0,0,2
23/08/15 16:00,0.5905,1,1
23/08/15 17:00,0,0,2
23/08/15 18:00,0.208620132490734,1,1
23/08/15 19:00,0.6361,1,1
23/08/15 20:00,0.4215,1,2
23/08/15 21:00,0.4019,1,2
23/08/15 22:00,0,0,2
23/08/15 23:00,-0.1027,1,2
24/08/15 00:00,0,0,2
24/08/15 01:00,0,0,2
24/08/15 02:00,-0.4767,1,2
24/08/15 03:00,0,0,2
24/08/15 04:00,0.193040603138663,2,1
24/08/15 05:00,0,0,2
24/08/15 06:00,0,0,1
24/08/15 07:00,0,0,2
24/08/15 08:00,0,0,2
24/08/15 09:00,0.704,1,3
24/08/15 10:00,0,0,2
24/08/15 11:00,0,0,2
24/08/15 12:00,0,0,2
24/08/15 13:00,0,0,2
24/08/15 14:00,0,0,2
24/08/15 15:00,0,0,2
24/08/15 16:00,0,0,2
24/08/15 17:00,0.006450989418132,1,2
24/08/15 18:00,0.132936349693191,2,2
24/08/15 19:00,0.25,1,2
24/08/15 20:00,0,0,1
24/08/15 21:00,0,0,1
24/08/15 22:00,0,0,2
24/08/15 23:00,-0.1779,1,3
25/08/15 00:00,0,0,2
25/08/15 01:00,0,0,2
25/08/15 02:00,0,0,1
25/08/15 03:00,0,0,1
25/08/15 04:00,0,0,2
25/08/15 05:00,0,0,2
25/08/15 06:00,0,0,2
25/08/15 07:00,0,0,2
25/08/15 08:00,0,0,1
25/08/15 09:00,0,0,2
25/08/15 10:00,0,0,2
25/08/15 11:00,0.8934,1,1
25/08/15 12:00,0,0,2
25/08/15 13:00,0,0,2
25/08/15 14:00,0,0,2
25/08/15 15:00,0,0,2
25/08/15 16:00,0,0,1
25/08/15 17:00,0,0,2
25/08/15 18:00,0.290252586276671,3,2
25/08/15 19:00,0,0,2
25/08/15 20:00,0,0,2
25/08/15 21:00,0.8169,1,2
25/08/15 22:00,0,0,3
25/08/15 23:00,0,0,3
26/08/15 00:00,0,0,2
26/08/15 01:00,0,0,2
26/08/15 02:00,0,0,2
26/08/15 03:00,0,0,2
26/08/15 04:00,0,0,2
26/08/15 05:00,0,0,2
26/08/15 06:00,0,0,2
26/08/15 07:00,0,0,2
26/08/15 08:00,0,0,2
26/08/15 09:00,0,0,2
26/08/15 10:00,0,0,2
26/08/15 11:00,0,0,2
26/08/15 12:00,0,0,2
26/08/15 13:00,0,0,2
26/08/15 14:00,0,0,2
26/08/15 15:00,0,0,2
26/08/15 16:00,0,0,2
26/08/15 17:00,-0.4588,1,1
26/08/15 18:00,0.034494631686038,1,2
26/08/15 19:00,0,0,2
26/08/15 20:00,0,0,2
26/08/15 21:00,0.14845,2,3
26/08/15 22:00,0,0,3
26/08/15 23:00,0,0,2
27/08/15 00:00,0,0,3
27/08/15 01:00,0,0,2
27/08/15 02:00,0,0,2
27/08/15 03:00,0,0,2
27/08/15 04:00,0,0,1
27/08/15 05:00,0.290241127019769,1,1
27/08/15 06:00,0,0,2
27/08/15 07:00,0,0,1
27/08/15 08:00,0,0,2
27/08/15 09:00,0.192001588397938,2,2
27/08/15 10:00,0,0,1
27/08/15 11:00,0.168359645798664,2,2
27/08/15 12:00,0,0,1
27/08/15 13:00,0,0,2
27/08/15 14:00,0.027155826265453,1,2
27/08/15 15:00,0,0,1
27/08/15 16:00,0,0,2
27/08/15 17:00,0,0,2
27/08/15 18:00,0,0,2
27/08/15 19:00,0,0,2
27/08/15 20:00,0,0,2
27/08/15 21:00,0.044648614277817,3,2
27/08/15 22:00,0.1645,3,2
27/08/15 23:00,0,0,2
28/08/15 00:00,0,0,2
28/08/15 01:00,0,0,1
28/08/15 02:00,0.026772889654724,1,2
28/08/15 03:00,0.5709,1,1
28/08/15 04:00,0.4404,1,2
28/08/15 05:00,0.4774,2,1
28/08/15 06:00,0,0,2
28/08/15 07:00,0,0,1
28/08/15 08:00,0,0,2
28/08/15 09:00,0,0,1
28/08/15 10:00,0,0,2
28/08/15 11:00,0,0,1
28/08/15 12:00,0,0,1
28/08/15 13:00,0,0,2
28/08/15 14:00,0,0,2
28/08/15 15:00,0.440135601242796,2,1
28/08/15 16:00,0,0,2
28/08/15 17:00,5.10361185520059E-05,3,2
28/08/15 18:00,0,0,1
28/08/15 19:00,0,0,1
28/08/15 20:00,0,0,1
28/08/15 21:00,0,0,2
28/08/15 22:00,0,0,1
28/08/15 23:00,0,0,2
29/08/15 00:00,0,0,2
29/08/15 01:00,0.25,1,1
29/08/15 02:00,0,0,1
29/08/15 03:00,0,0,1
29/08/15 04:00,0,0,1
29/08/15 05:00,0,0,1
29/08/15 06:00,0,0,1
29/08/15 07:00,0,0,1
29/08/15 08:00,0,0,2
29/08/15 09:00,0,0,2
29/08/15 10:00,0,0,1
29/08/15 11:00,0,0,2
29/08/15 12:00,0,0,2
29/08/15 13:00,0,0,1
29/08/15 14:00,0,0,2
29/08/15 15:00,0,0,2
29/08/15 16:00,0,0,2
29/08/15 17:00,0,0,2
29/08/15 18:00,0,0,1
29/08/15 19:00,0.2732,1,2
29/08/15 20:00,0,0,2
29/08/15 21:00,0,0,2
29/08/15 22:00,0.4404,1,2
29/08/15 23:00,0.236828399704147,1,2
30/08/15 00:00,0,0,3
30/08/15 01:00,0,0,3
30/08/15 02:00,0,0,2
30/08/15 03:00,0.158649545414471,1,1
30/08/15 04:00,0.121414073351207,1,2
30/08/15 05:00,0.3612,1,2
30/08/15 06:00,-0.4404,1,2
30/08/15 07:00,0,0,2
30/08/15 08:00,0,0,1
30/08/15 09:00,0,0,1
30/08/15 10:00,0,0,1
30/08/15 11:00,0,0,2
30/08/15 12:00,0,0,2
30/08/15 13:00,0.5399,1,2
30/08/15 14:00,0,0,3
30/08/15 15:00,0.095988226914791,1,3
30/08/15 16:00,0.181145884534031,2,2
30/08/15 17:00,0,0,2
30/08/15 18:00,0,0,1
30/08/15 19:00,0,0,2
30/08/15 20:00,0,0,2
30/08/15 21:00,0,0,2
30/08/15 22:00,-0.743,1,2
30/08/15 23:00,0,0,3
31/08/15 00:00,-0.4215,1,2
31/08/15 01:00,0,0,3
31/08/15 02:00,0,0,2
31/08/15 03:00,0,0,2
31/08/15 04:00,0,0,1
31/08/15 05:00,0,0,2
31/08/15 06:00,0.042242397617741,1,2
31/08/15 07:00,0,0,2
31/08/15 08:00,0,0,2
31/08/15 09:00,0,0,2
31/08/15 10:00,0,0,2
31/08/15 11:00,0.100027500159001,1,2
