date,score_twitter,volume_gg,volume_twitter,volume_wiki
1439078400,NA,NA,NA,NA
1439164800,NA,NA,NA,NA
1439251200,0,3,0,686
1439337600,-0.031512579512682,85,7,918
1439424000,-0.008188889688567,90,8,1071
1439510400,0.065007699644508,118,6,1054
1439596800,0.073841428380883,134,7,610
1439683200,0.047163047965573,71,11,600
1439769600,0.020382267842615,54,6,651
1439856000,0.118763225315367,57,15,642
1439942400,0.025917508863441,53,4,642
1440028800,-0.005195844354362,46,12,678
1440115200,0.053458767250929,48,21,540
1440201600,0.046442999723975,52,8,379
1440288000,0.0186875,51,4,414
1440374400,0.156621642325913,43,10,529
1440460800,0.026326164260416,46,9,608
1440547200,0.083356357761528,45,5,572
1440633600,-0.011493973679749,50,4,519
1440720000,0.036954450073318,41,12,433
1440806400,0.091902480292336,36,11,375
1440892800,0.039601183321006,41,3,351
1440979200,-0.006108427907729,47,10,532
1441065600,0.102813714063861,50,9,500
1441152000,0.105763744622049,47,15,480
1441238400,0.068113720099779,47,8,544
1441324800,0.043479166666667,49,2,455
1441411200,0.053007349285706,43,6,340
1441497600,0.012902636670228,39,4,421
1441584000,0.049409867601022,39,3,549
1441670400,0.074896985430392,42,6,528
1441756800,0.062277643730885,46,8,625
1441843200,-0.001250443824136,43,11,509
1441929600,0.078076597443747,42,14,411
1442016000,0.091485883838413,46,11,411
1442102400,-0.00018506431969,35,6,454
1442188800,0.006415307949651,38,6,510
1442275200,0.022930641411462,42,7,777
1442361600,0.054739474768164,36,5,1082
1442448000,0.024216941040027,50,8,855
1442534400,0.024101835889849,40,6,838
1442620800,0.026163595818264,40,6,712
1442707200,0.113274892281261,39,14,923
1442793600,0.026234295351353,33,2,1012
1442880000,-0.012797953326243,39,8,916
1442966400,0.063414921468082,40,11,930
1443052800,0.039155332922805,39,8,881
1443139200,-0.001803530117814,39,4,717
1443225600,0.063245835579645,38,9,559
1443312000,0.005637491015557,32,3,573
1443398400,0.074537942443237,32,7,705
1443484800,0.039733630009941,36,18,734
1443571200,0.00772275513542,47,12,783
1443657600,0.066236815667231,40,10,609
1443744000,0.066626926779487,38,7,624
1443830400,0.068912129605305,31,12,528
1443916800,0.009925649066425,31,6,507
1444003200,0.095931880163613,25,5,597
1444089600,0.021323275230482,29,8,679
1444176000,0.08743520690031,37,10,663
1444262400,0.1161473067085,34,18,595
1444348800,0.032255987869854,29,9,571
1444435200,0.009529642828119,26,2,456
1444521600,0.069442118725077,27,7,447
1444608000,0.089181477915326,24,12,637
1444694400,0.058035276858578,25,10,685
1444780800,0.062050449864185,27,7,555
1444867200,0.106651900565441,25,15,544
1444953600,0.046658135124128,27,8,476
1445040000,0.101240258238492,24,11,337
1445126400,0.050215947879567,23,7,333
1445212800,0.004810416666667,22,4,691
1445299200,0.054515762540405,26,13,541
1445385600,-0.011735407480401,25,7,546
1445472000,0.076574673624311,25,8,519
1445558400,0.105922418437806,25,8,454
1445644800,-0.004737333751353,21,6,415
1445731200,0.044115653050385,0,13,417
1445817600,-0.014037087048114,21,6,580
1445904000,0.044126918510965,26,13,676
1445990400,0.095620708921311,33,10,890
1446076800,0.060032221814428,39,12,843
1446163200,0.045047729409701,55,13,755
1446249600,0.101362963950139,56,21,596
1446336000,0,32,0,574
1446422400,0.0105,19,3,810
1446508800,0.001782689457802,23,9,719
1446595200,0.09156422447561,23,10,817
1446681600,0.055483106985149,24,7,658
1446768000,0.051101532052948,24,9,637
1446854400,0.069832839580701,23,6,439
1446940800,0.005975739539212,24,9,511
1447027200,0.012999021778324,22,5,713
1447113600,0.127573310537496,32,15,668
1447200000,0.092115235041033,37,16,930
1447286400,0.093549180148419,40,23,820
1447372800,0.140186372520216,46,12,703
1447459200,0.112493385267579,42,23,631
1447545600,0.026980045090112,33,8,616
1447632000,0.024583333333333,30,2,790
1447718400,0.069002972785171,41,10,651
1447804800,0.147718924287037,41,13,627
1447891200,0.078074425664655,41,7,668
1447977600,0.029337895831413,42,9,597
1448064000,0.115695717621754,41,16,385
1448150400,0.019808333333333,31,1,446
1448236800,0.035430452818011,24,5,734
1448323200,0.060444437196205,24,9,625
1448409600,0.010366076499893,24,10,654
1448496000,0.088123850916944,24,7,529
1448582400,0.047042131201368,24,5,619
1448668800,0.041891648243169,24,6,411
1448755200,0.000737524926316,24,5,483
1448841600,0.013887143764729,37,10,624
1448928000,0.108154635363238,35,5,551
1449014400,0.086805908411009,37,7,603
1449100800,0.065421166753367,39,6,595
1449187200,0.035473189592575,42,4,516
1449273600,-0.044093659099297,33,12,585
1449360000,0.05509044536556,36,5,599
1449446400,0.105943613458678,18,11,708
1449532800,0.07324801335289,21,12,654
1449619200,0.024519452324519,19,6,804
1449705600,0.011701316244631,22,5,712
1449792000,0.024555566504527,23,18,623
1449878400,0.006957333674477,24,11,546
1449964800,0.018745216590049,24,4,580
1450051200,0.1248125,28,5,684
1450137600,0.041207807009774,26,6,642
1450224000,0.021319483894364,29,4,653
1450310400,0.080804810076825,28,12,698
1450396800,0.044942050882956,31,9,674
1450483200,0.033798570272729,31,11,450
1450569600,0.013258333333333,29,1,453
1450656000,0.047335103028365,29,4,587
1450742400,0.052322615475455,26,6,519
1450828800,0.091397257511084,37,9,518
1450915200,0.034164938449557,30,11,385
1451001600,0.059879908882099,33,8,333
1451088000,0.059403138808363,29,4,385
1451174400,0.072127840495635,25,6,463
1451260800,0.037054166666667,30,4,534
1451347200,0.096076352489011,34,6,446
1451433600,0.096965638266306,32,6,398
1451520000,0.06171752994031,35,12,435
