date,ethereum
2015-08-11 02:00:00,686
2015-08-12 02:00:00,918
2015-08-13 02:00:00,1071
2015-08-14 02:00:00,1054
2015-08-15 02:00:00,610
2015-08-16 02:00:00,600
2015-08-17 02:00:00,651
2015-08-18 02:00:00,642
2015-08-19 02:00:00,642
2015-08-20 02:00:00,678
2015-08-21 02:00:00,540
2015-08-22 02:00:00,379
2015-08-23 02:00:00,414
2015-08-24 02:00:00,529
2015-08-25 02:00:00,608
2015-08-26 02:00:00,572
2015-08-27 02:00:00,519
2015-08-28 02:00:00,433
2015-08-29 02:00:00,375
2015-08-30 02:00:00,351
2015-08-31 02:00:00,532
2015-09-01 02:00:00,500
2015-09-02 02:00:00,480
2015-09-03 02:00:00,544
2015-09-04 02:00:00,455
2015-09-05 02:00:00,340
2015-09-06 02:00:00,421
2015-09-07 02:00:00,549
2015-09-08 02:00:00,528
2015-09-09 02:00:00,625
2015-09-10 02:00:00,509
2015-09-11 02:00:00,411
2015-09-12 02:00:00,411
2015-09-13 02:00:00,454
2015-09-14 02:00:00,510
2015-09-15 02:00:00,777
2015-09-16 02:00:00,1082
2015-09-17 02:00:00,855
2015-09-18 02:00:00,838
2015-09-19 02:00:00,712
2015-09-20 02:00:00,923
2015-09-21 02:00:00,1012
2015-09-22 02:00:00,916
2015-09-23 02:00:00,930
2015-09-24 02:00:00,881
2015-09-25 02:00:00,717
2015-09-26 02:00:00,559
2015-09-27 02:00:00,573
2015-09-28 02:00:00,705
2015-09-29 02:00:00,734
2015-09-30 02:00:00,783
2015-10-01 02:00:00,609
2015-10-02 02:00:00,624
2015-10-03 02:00:00,528
2015-10-04 02:00:00,507
2015-10-05 02:00:00,597
2015-10-06 02:00:00,679
2015-10-07 02:00:00,663
2015-10-08 02:00:00,595
2015-10-09 02:00:00,571
2015-10-10 02:00:00,456
2015-10-11 02:00:00,447
2015-10-12 02:00:00,637
2015-10-13 02:00:00,685
2015-10-14 02:00:00,555
2015-10-15 02:00:00,544
2015-10-16 02:00:00,476
2015-10-17 02:00:00,337
2015-10-18 02:00:00,333
2015-10-19 02:00:00,691
2015-10-20 02:00:00,541
2015-10-21 02:00:00,546
2015-10-22 02:00:00,519
2015-10-23 02:00:00,454
2015-10-24 02:00:00,415
2015-10-25 02:00:00,417
2015-10-26 02:00:00,580
2015-10-27 02:00:00,676
2015-10-28 02:00:00,890
2015-10-29 02:00:00,843
2015-10-30 02:00:00,755
2015-10-31 02:00:00,596
2015-11-01 02:00:00,574
2015-11-02 02:00:00,810
2015-11-03 02:00:00,719
2015-11-04 02:00:00,817
2015-11-05 02:00:00,658
