date,volume_google,score_twitter,volume_twitter
1439247600,69,0,0
1439251200,76,0.1759,1
1439254800,71,0,0
1439258400,72,0.283820797877281,4
1439262000,68,0.04723894889734,2
1439265600,60,0.141851621389692,2
1439269200,59,0.657833333333333,3
1439272800,60,0.111649050143073,1
1439276400,58,0,0
1439280000,56,0.173801849815881,1
1439283600,59,0.2263,1
1439287200,58,0,0
1439290800,58,0,0
1439294400,62,0.290826032504689,1
1439298000,65,0,0
1439301600,62,0,0
1439305200,65,0.5046,3
1439308800,71,0.265051935545334,5
1439312400,70,0.355406128865731,5
1439316000,73,-0.004089038159646,5
1439319600,96,0,0
1439323200,78,0.49305,2
1439326800,73,-0.00595,2
1439330400,81,0.095611449110702,1
1439334000,69,0.091272928284842,14
1439337600,69,0,0
1439341200,71,0.4404,1
1439344800,69,0,0
1439348400,63,0,0
1439352000,63,0,0
1439355600,60,0.240188930803612,1
1439359200,61,0,0
1439362800,56,0,0
1439366400,62,0,0
1439370000,64,0,0
1439373600,62,0.4404,1
1439377200,59,0.180593924039572,2
1439380800,64,0.128,1
1439384400,67,0.8689,1
1439388000,67,0,0
1439391600,69,0.148245063685745,6
1439395200,70,0.231995098413955,9
1439398800,66,0.211146216125404,6
1439402400,66,-0.1779,1
1439406000,94,0,0
1439409600,77,-0.4767,1
1439413200,73,0.493437871997134,3
1439416800,85,0.015547749937415,3
1439420400,66,0.7105,1
1439424000,68,0,0
1439427600,69,0,0
1439431200,71,0.144775931815466,4
1439434800,71,0.4019,1
1439438400,74,0.258432065444837,2
1439442000,73,-0.1516,1
1439445600,71,0,0
1439449200,70,0,0
1439452800,66,0,0
1439456400,67,0,0
1439460000,62,0.187204781709056,1
1439463600,64,0.246708666614458,1
1439467200,61,0,0
1439470800,65,0,0
1439474400,71,0.394681145428207,4
1439478000,71,-0.049245970054374,4
1439481600,78,0.166262942008961,12
1439485200,70,0.034152792572552,5
1439488800,76,0.075882445342493,3
1439492400,86,0.5799,2
1439496000,75,0.03062684720809,1
1439499600,70,-0.318,2
1439503200,69,0,0
1439506800,74,0.4404,1
1439510400,69,0,0
1439514000,70,0.050918587935537,1
1439517600,67,0.282679680658885,2
1439521200,61,0,0
1439524800,63,0,0
1439528400,60,-0.0772,1
1439532000,57,-0.1812,2
1439535600,57,0,0
1439539200,58,0,0
1439542800,60,0,0
1439546400,60,0,0
1439550000,56,0.4404,1
1439553600,63,0.5859,1
1439557200,62,0.250122445888966,1
1439560800,63,0.4939,1
1439564400,62,0,0
1439568000,64,0.252890061235494,1
1439571600,76,0.492489838847828,3
1439575200,65,0.150263668186712,5
1439578800,83,0.390756643210027,3
1439582400,70,0.288131774566086,5
1439586000,70,0.335196304261173,4
1439589600,77,0.177633333333333,3
1439593200,69,0,0
1439596800,64,0,0
1439600400,45,0.168724565271476,2
1439604000,47,-0.125448670650338,3
1439607600,47,0,0
1439611200,44,0.4404,1
1439614800,42,-0.296,1
1439618400,40,0.148028967719379,3
1439622000,39,0,0
1439625600,39,0,0
1439629200,37,0,0
1439632800,39,0.261094425154578,1
1439636400,37,0.124107514779091,2
1439640000,38,0,0
1439643600,42,0,0
