date,score_twitter,volume_twitter,volume_google
1439247600,0,0,3
1439251200,0,0,3
1439254800,0,0,3
1439258400,0,0,2
1439262000,0,0,3
1439265600,0,0,3
1439269200,0,0,3
1439272800,0,0,4
1439276400,0,0,4
1439280000,0,0,4
1439283600,0,0,3
1439287200,0,0,3
1439290800,0,0,3
1439294400,-0.2878,1,3
1439298000,0,0,3
1439301600,0,0,3
1439305200,0,0,3
1439308800,0,0,4
1439312400,-0.5983,1,3
1439316000,-0.171079906070168,2,5
1439319600,0,0,5
1439323200,0,0,6
1439326800,0,0,4
1439330400,0,0,5
1439334000,0.300877997765807,3,3
1439337600,0.088092492447149,2,4
1439341200,0,0,3
1439344800,0,0,3
1439348400,0,0,3
1439352000,0,0,3
1439355600,0,0,3
1439359200,0,0,3
1439362800,0,0,4
1439366400,0.19599007655597,1,3
1439370000,-0.1027,1,3
1439373600,0,0,4
1439377200,0.032877592898466,1,4
1439380800,0,0,4
1439384400,0,0,4
1439388000,0,0,4
1439391600,0,0,5
1439395200,0.288006485572807,2,4
1439398800,0,0,3
1439402400,0,0,5
1439406000,0,0,4
1439409600,0,0,5
1439413200,0,0,4
1439416800,-0.6988,1,4
1439420400,0,0,4
1439424000,0,0,3
1439427600,0.7964,1,3
1439431200,0,0,3
1439434800,0,0,3
1439438400,0.448340936855069,2,4
1439442000,0,0,4
1439445600,0,0,4
1439449200,0,0,4
1439452800,0,0,5
1439456400,0,0,3
1439460000,0,0,4
1439463600,-0.0258,1,4
1439467200,0,0,4
1439470800,0,0,5
1439474400,0,0,5
1439478000,0,0,6
1439481600,0.142342231957956,1,7
1439485200,0.198901622655172,1,7
1439488800,0,0,7
1439492400,0,0,7
1439496000,0,0,8
1439499600,0,0,7
1439503200,0,0,6
1439506800,0,0,5
1439510400,0,0,5
1439514000,0.5994,1,6
1439517600,0.373394281141184,3,5
1439521200,0,0,5
1439524800,0,0,6
1439528400,0,0,5
1439532000,0.5106,1,6
1439535600,0,0,5
1439539200,0,0,7
1439542800,0.5848,1,7
1439546400,0,0,6
1439550000,0,0,8
1439553600,0,0,5
1439557200,0,0,5
1439560800,-0.296,1,6
1439564400,0,0,6
1439568000,0,0,6
1439571600,0,0,5
